Year / Quarter,GDP Growth Rate (YoY %),CPI Inflation (YoY %),Gross GST Collections (₹ Lakh Crore),Unemployment Rate (%),"Foreign Exchange Reserves (Billion USD, End of Period)",Index of Industrial Production (IIP) Growth (YoY %)
FY 2017-18,6.8,3.6,4.43,N/A,424.5,4.4
FY18 Q1,5.8,2.2,N/A,N/A,389.1,1.7
FY18 Q2,6.8,2.5,0.93,N/A,399.7,2.9
FY18 Q3,7.7,4.6,1.73,N/A,422.5,6.9
FY18 Q4,8.2,4.8,1.77,N/A,424.5,6.1
FY 2018-19,6.5,3.4,11.77,6.1,412.9,3.8
FY19 Q1,8,4.9,2.87,N/A,413.1,5.2
FY19 Q2,7,4,2.92,N/A,393.3,4.6
FY19 Q3,6.2,2.6,2.97,N/A,393.4,2.9
FY19 Q4,5.8,2.9,3.01,N/A,412.9,2.5
FY 2019-20,3.9,4.8,12.22,5.4,477.8,-0.8
FY20 Q1,5.2,3,3.12,5,429.3,3
FY20 Q2,4.2,3.5,2.96,5,433.6,0.4
FY20 Q3,3.3,5.8,3.07,5.1,457.5,-0.1
FY20 Q4,3,5.9,3.07,5.3,477.8,-2.7
FY 2020-21,-5.8,6.2,11.37,8,577,-8.6
FY21 Q1,-23.9,6.6,1.86,20.9,518.3,-35.9
FY21 Q2,-7.4,6.9,2.76,7.5,555.2,-6.9
FY21 Q3,0.5,5,3.34,7.2,580.8,2.1
FY21 Q4,1.6,5,3.41,6.5,577,5
FY 2021-22,9.1,5.5,14.76,6,617.6,11.4
FY22 Q1,20.1,5.6,3.37,8.2,590.6,44.4
FY22 Q2,8.4,4.9,3.59,7.6,635.3,9.7
FY22 Q3,5.4,5,3.86,7.5,633.6,1.5
FY22 Q4,4.1,6.3,4.94,7.1,617.6,2.1
FY 2022-23,7,6.7,18.1,7.6,578.4,5.2
FY23 Q1,13.1,7.3,4.53,7.6,572.7,12.7
FY23 Q2,6.2,7,4.41,7.2,532.7,1.6
FY23 Q3,4.5,6.1,4.56,8.7,562.7,4.5
FY23 Q4,6,5.9,4.6,8.2,578.4,3.9
FY 2023-24,8.2,5.4,20.18,7,642.5,5.9
FY24 Q1,8.2,4.6,5.04,8.5,609,4.6
FY24 Q2,8.1,6.4,4.96,8.4,586.9,6.9
FY24 Q3,8.6,5.5,5.07,7.3,622.5,6
FY24 Q4,7.8,5.1,5.11,6.7,642.5,5.9
FY 2024-25,,,,,,
FY25 Q1,7.8 (est.),4.9,5.68,6.7,652.9,5.1
FY25 Q2,N/A,N/A,N/A,N/A,N/A,N/A
