country_code,country,year,value,indicator
IND,India,2010,7.41,gdp_growth
IND,India,2011,8.71,gdp_growth
IND,India,2012,8.95,gdp_growth
IND,India,2013,10.26,gdp_growth
IND,India,2014,9.35,gdp_growth
IND,India,2015,10.16,gdp_growth
IND,India,2016,10.11,gdp_growth
IND,India,2017,7.13,gdp_growth
IND,India,2018,7.49,gdp_growth
IND,India,2019,3.53,gdp_growth
IND,India,2020,-10.22,gdp_growth
IND,India,2021,6.9,gdp_growth
IND,India,2022,7.5,gdp_growth
IND,India,2023,3.96,gdp_growth
IND,India,2024,7.41,gdp_growth
CHN,China,2010,9.97,gdp_growth
CHN,China,2011,7.8,gdp_growth
CHN,China,2012,11.06,gdp_growth
CHN,China,2013,9.77,gdp_growth
CHN,China,2014,10.76,gdp_growth
CHN,China,2015,12.01,gdp_growth
CHN,China,2016,8.8,gdp_growth
CHN,China,2017,6.81,gdp_growth
CHN,China,2018,6.86,gdp_growth
CHN,China,2019,10.07,gdp_growth
CHN,China,2020,-9.79,gdp_growth
CHN,China,2021,4.05,gdp_growth
CHN,China,2022,7.68,gdp_growth
CHN,China,2023,8.53,gdp_growth
CHN,China,2024,12.94,gdp_growth
USA,United States,2010,0.2,gdp_growth
USA,United States,2011,3.97,gdp_growth
USA,United States,2012,7.79,gdp_growth
USA,United States,2013,7.39,gdp_growth
USA,United States,2014,3.45,gdp_growth
USA,United States,2015,4.56,gdp_growth
USA,United States,2016,3.41,gdp_growth
USA,United States,2017,1.67,gdp_growth
USA,United States,2018,3.17,gdp_growth
USA,United States,2019,0.94,gdp_growth
USA,United States,2020,-13.63,gdp_growth
USA,United States,2021,-1.13,gdp_growth
USA,United States,2022,2.27,gdp_growth
USA,United States,2023,1.57,gdp_growth
USA,United States,2024,3.94,gdp_growth
GBR,United Kingdom,2010,2.97,gdp_growth
GBR,United Kingdom,2011,0.67,gdp_growth
GBR,United Kingdom,2012,4.17,gdp_growth
GBR,United Kingdom,2013,1.69,gdp_growth
GBR,United Kingdom,2014,2.98,gdp_growth
GBR,United Kingdom,2015,1.77,gdp_growth
GBR,United Kingdom,2016,0.47,gdp_growth
GBR,United Kingdom,2017,0.62,gdp_growth
GBR,United Kingdom,2018,3.29,gdp_growth
GBR,United Kingdom,2019,-0.18,gdp_growth
GBR,United Kingdom,2020,-15.1,gdp_growth
GBR,United Kingdom,2021,-0.99,gdp_growth
GBR,United Kingdom,2022,1.66,gdp_growth
GBR,United Kingdom,2023,3.69,gdp_growth
GBR,United Kingdom,2024,3.34,gdp_growth
