country_code,country,year,value,indicator
IND,India,2010,7.74,inflation
IND,India,2011,5.28,inflation
IND,India,2012,8.42,inflation
IND,India,2013,9.32,inflation
IND,India,2014,6.42,inflation
IND,India,2015,5.93,inflation
IND,India,2016,7.78,inflation
IND,India,2017,7.36,inflation
IND,India,2018,6.0,inflation
IND,India,2019,5.07,inflation
IND,India,2020,5.69,inflation
IND,India,2021,3.78,inflation
IND,India,2022,7.0,inflation
IND,India,2023,5.94,inflation
IND,India,2024,8.29,inflation
CHN,China,2010,1.13,inflation
CHN,China,2011,2.73,inflation
CHN,China,2012,1.88,inflation
CHN,China,2013,2.67,inflation
CHN,China,2014,4.86,inflation
CHN,China,2015,2.69,inflation
CHN,China,2016,3.09,inflation
CHN,China,2017,2.15,inflation
CHN,China,2018,-0.54,inflation
CHN,China,2019,1.38,inflation
CHN,China,2020,-0.44,inflation
CHN,China,2021,2.57,inflation
CHN,China,2022,3.52,inflation
CHN,China,2023,3.81,inflation
CHN,China,2024,3.02,inflation
USA,United States,2010,2.2,inflation
USA,United States,2011,4.65,inflation
USA,United States,2012,4.6,inflation
USA,United States,2013,4.11,inflation
USA,United States,2014,2.77,inflation
USA,United States,2015,5.13,inflation
USA,United States,2016,2.41,inflation
USA,United States,2017,1.35,inflation
USA,United States,2018,-0.05,inflation
USA,United States,2019,-1.25,inflation
USA,United States,2020,1.21,inflation
USA,United States,2021,0.56,inflation
USA,United States,2022,0.35,inflation
USA,United States,2023,0.97,inflation
USA,United States,2024,4.2,inflation
GBR,United Kingdom,2010,2.74,inflation
GBR,United Kingdom,2011,0.58,inflation
GBR,United Kingdom,2012,5.2,inflation
GBR,United Kingdom,2013,6.18,inflation
GBR,United Kingdom,2014,5.1,inflation
GBR,United Kingdom,2015,4.11,inflation
GBR,United Kingdom,2016,4.16,inflation
GBR,United Kingdom,2017,-0.06,inflation
GBR,United Kingdom,2018,1.92,inflation
GBR,United Kingdom,2019,1.49,inflation
GBR,United Kingdom,2020,-2.1,inflation
GBR,United Kingdom,2021,2.58,inflation
GBR,United Kingdom,2022,0.29,inflation
GBR,United Kingdom,2023,-0.11,inflation
GBR,United Kingdom,2024,2.07,inflation
JPN,Japan,2010,0.28,inflation
JPN,Japan,2011,1.82,inflation
JPN,Japan,2012,2.48,inflation
JPN,Japan,2013,5.48,inflation
JPN,Japan,2014,4.39,inflation
JPN,Japan,2015,-0.19,inflation
JPN,Japan,2016,1.46,inflation
JPN,Japan,2017,-0.86,inflation
JPN,Japan,2018,-2.95,inflation
JPN,Japan,2019,-1.36,inflation
JPN,Japan,2020,-3.36,inflation
JPN,Japan,2021,-4.86,inflation
JPN,Japan,2022,1.48,inflation
JPN,Japan,2023,1.43,inflation
JPN,Japan,2024,4.21,inflation
DEU,Germany,2010,0.82,inflation
DEU,Germany,2011,-0.05,inflation
DEU,Germany,2012,2.43,inflation
DEU,Germany,2013,1.77,inflation
DEU,Germany,2014,3.84,inflation
DEU,Germany,2015,4.76,inflation
DEU,Germany,2016,4.58,inflation
DEU,Germany,2017,1.74,inflation
DEU,Germany,2018,0.69,inflation
DEU,Germany,2019,0.36,inflation
DEU,Germany,2020,-2.67,inflation
DEU,Germany,2021,-1.76,inflation
DEU,Germany,2022,1.79,inflation
DEU,Germany,2023,1.28,inflation
DEU,Germany,2024,0.41,inflation
BRA,Brazil,2010,3.9,inflation
BRA,Brazil,2011,8.04,inflation
BRA,Brazil,2012,9.15,inflation
BRA,Brazil,2013,6.07,inflation
BRA,Brazil,2014,7.08,inflation
BRA,Brazil,2015,6.18,inflation
BRA,Brazil,2016,6.67,inflation
BRA,Brazil,2017,6.1,inflation
BRA,Brazil,2018,5.15,inflation
BRA,Brazil,2019,1.37,inflation
BRA,Brazil,2020,2.55,inflation
BRA,Brazil,2021,3.96,inflation
BRA,Brazil,2022,3.22,inflation
BRA,Brazil,2023,6.21,inflation
BRA,Brazil,2024,6.88,inflation
RUS,Russia,2010,4.44,inflation
RUS,Russia,2011,5.5,inflation
RUS,Russia,2012,5.71,inflation
RUS,Russia,2013,6.73,inflation
RUS,Russia,2014,8.2,inflation
RUS,Russia,2015,7.28,inflation
RUS,Russia,2016,7.07,inflation
RUS,Russia,2017,3.13,inflation
RUS,Russia,2018,4.68,inflation
RUS,Russia,2019,5.41,inflation
RUS,Russia,2020,4.26,inflation
RUS,Russia,2021,2.55,inflation
RUS,Russia,2022,2.19,inflation
RUS,Russia,2023,5.94,inflation
RUS,Russia,2024,5.72,inflation
ZAF,South Africa,2010,4.5,inflation
ZAF,South Africa,2011,7.08,inflation
ZAF,South Africa,2012,7.81,inflation
ZAF,South Africa,2013,8.5,inflation
ZAF,South Africa,2014,8.48,inflation
ZAF,South Africa,2015,6.16,inflation
ZAF,South Africa,2016,5.69,inflation
ZAF,South Africa,2017,4.22,inflation
ZAF,South Africa,2018,10.26,inflation
ZAF,South Africa,2019,3.09,inflation
ZAF,South Africa,2020,3.1,inflation
ZAF,South Africa,2021,3.53,inflation
ZAF,South Africa,2022,5.22,inflation
ZAF,South Africa,2023,8.49,inflation
ZAF,South Africa,2024,5.71,inflation
AUS,Australia,2010,1.53,inflation
AUS,Australia,2011,4.66,inflation
AUS,Australia,2012,4.64,inflation
AUS,Australia,2013,3.88,inflation
AUS,Australia,2014,6.02,inflation
AUS,Australia,2015,7.3,inflation
AUS,Australia,2016,1.01,inflation
AUS,Australia,2017,1.11,inflation
AUS,Australia,2018,-0.12,inflation
AUS,Australia,2019,0.98,inflation
AUS,Australia,2020,1.24,inflation
AUS,Australia,2021,0.67,inflation
AUS,Australia,2022,1.51,inflation
AUS,Australia,2023,1.67,inflation
AUS,Australia,2024,2.82,inflation
