country_code,country,year,value,indicator
IND,India,2010,45.96,trade_gdp
IND,India,2011,43.42,trade_gdp
IND,India,2012,46.81,trade_gdp
IND,India,2013,43.4,trade_gdp
IND,India,2014,47.28,trade_gdp
IND,India,2015,47.25,trade_gdp
IND,India,2016,43.32,trade_gdp
IND,India,2017,46.42,trade_gdp
IND,India,2018,42.27,trade_gdp
IND,India,2019,42.92,trade_gdp
IND,India,2020,41.71,trade_gdp
IND,India,2021,43.07,trade_gdp
IND,India,2022,44.92,trade_gdp
IND,India,2023,43.66,trade_gdp
IND,India,2024,43.8,trade_gdp
CHN,China,2010,36.73,trade_gdp
CHN,China,2011,40.02,trade_gdp
CHN,China,2012,38.69,trade_gdp
CHN,China,2013,40.12,trade_gdp
CHN,China,2014,39.37,trade_gdp
CHN,China,2015,41.54,trade_gdp
CHN,China,2016,39.71,trade_gdp
CHN,China,2017,38.99,trade_gdp
CHN,China,2018,34.44,trade_gdp
CHN,China,2019,34.34,trade_gdp
CHN,China,2020,36.66,trade_gdp
CHN,China,2021,38.51,trade_gdp
CHN,China,2022,37.34,trade_gdp
CHN,China,2023,37.76,trade_gdp
CHN,China,2024,37.05,trade_gdp
USA,United States,2010,28.18,trade_gdp
USA,United States,2011,29.14,trade_gdp
USA,United States,2012,32.12,trade_gdp
USA,United States,2013,29.01,trade_gdp
USA,United States,2014,29.2,trade_gdp
USA,United States,2015,31.7,trade_gdp
USA,United States,2016,29.36,trade_gdp
USA,United States,2017,28.8,trade_gdp
USA,United States,2018,27.18,trade_gdp
USA,United States,2019,23.05,trade_gdp
USA,United States,2020,28.46,trade_gdp
USA,United States,2021,25.81,trade_gdp
USA,United States,2022,27.58,trade_gdp
USA,United States,2023,28.22,trade_gdp
USA,United States,2024,31.54,trade_gdp
GBR,United Kingdom,2010,60.8,trade_gdp
GBR,United Kingdom,2011,59.51,trade_gdp
GBR,United Kingdom,2012,61.86,trade_gdp
GBR,United Kingdom,2013,61.59,trade_gdp
GBR,United Kingdom,2014,62.37,trade_gdp
GBR,United Kingdom,2015,62.64,trade_gdp
GBR,United Kingdom,2016,63.12,trade_gdp
GBR,United Kingdom,2017,59.61,trade_gdp
GBR,United Kingdom,2018,58.48,trade_gdp
GBR,United Kingdom,2019,59.08,trade_gdp
GBR,United Kingdom,2020,57.82,trade_gdp
GBR,United Kingdom,2021,57.35,trade_gdp
GBR,United Kingdom,2022,56.38,trade_gdp
GBR,United Kingdom,2023,59.36,trade_gdp
GBR,United Kingdom,2024,60.9,trade_gdp
JPN,Japan,2010,35.12,trade_gdp
JPN,Japan,2011,36.68,trade_gdp
JPN,Japan,2012,36.33,trade_gdp
JPN,Japan,2013,37.5,trade_gdp
