country_code,country,year,value,indicator
GBR,United Kingdom,2024,3.27157294635921,FP.CPI.TOTL.ZG
GBR,United Kingdom,2023,6.79396706793964,FP.CPI.TOTL.ZG
GBR,United Kingdom,2022,7.92204883147907,FP.CPI.TOTL.ZG
GBR,United Kingdom,2021,2.5183710961421,FP.CPI.TOTL.ZG
GBR,United Kingdom,2020,0.989486703772449,FP.CPI.TOTL.ZG
GBR,United Kingdom,2019,1.73810460086515,FP.CPI.TOTL.ZG
GBR,United Kingdom,2018,2.29283990345937,FP.CPI.TOTL.ZG
GBR,United Kingdom,2017,2.55775577557753,FP.CPI.TOTL.ZG
GBR,United Kingdom,2016,1.00841736811403,FP.CPI.TOTL.ZG
GBR,United Kingdom,2015,0.36804684232537,FP.CPI.TOTL.ZG
GBR,United Kingdom,2014,1.45112016293279,FP.CPI.TOTL.ZG
GBR,United Kingdom,2013,2.29166666666667,FP.CPI.TOTL.ZG
GBR,United Kingdom,2012,2.57323479654526,FP.CPI.TOTL.ZG
GBR,United Kingdom,2011,3.85611244682819,FP.CPI.TOTL.ZG
GBR,United Kingdom,2010,2.49265472467066,FP.CPI.TOTL.ZG
