country_code,country,year,value,indicator
IND,India,2024,23.4929703141577,NE.IMP.GNFS.ZS
IND,India,2023,23.544144504402,NE.IMP.GNFS.ZS
IND,India,2022,26.8237289453584,NE.IMP.GNFS.ZS
IND,India,2021,24.0239304534931,NE.IMP.GNFS.ZS
IND,India,2020,19.0756283996012,NE.IMP.GNFS.ZS
IND,India,2019,21.2411386333872,NE.IMP.GNFS.ZS
IND,India,2018,23.6891407335327,NE.IMP.GNFS.ZS
IND,India,2017,21.9507321152243,NE.IMP.GNFS.ZS
IND,India,2016,20.9242508026814,NE.IMP.GNFS.ZS
IND,India,2015,22.1097247094602,NE.IMP.GNFS.ZS
IND,India,2014,25.9542227389497,NE.IMP.GNFS.ZS
IND,India,2013,28.4132706461587,NE.IMP.GNFS.ZS
IND,India,2012,31.2592910673332,NE.IMP.GNFS.ZS
IND,India,2011,31.0834686939585,NE.IMP.GNFS.ZS
IND,India,2010,26.8542732486216,NE.IMP.GNFS.ZS
CHN,China,2024,17.1755035026323,NE.IMP.GNFS.ZS
CHN,China,2023,17.0027206529743,NE.IMP.GNFS.ZS
CHN,China,2022,17.1429881849395,NE.IMP.GNFS.ZS
CHN,China,2021,16.9944489517557,NE.IMP.GNFS.ZS
CHN,China,2020,15.8353686179343,NE.IMP.GNFS.ZS
CHN,China,2019,17.1437133141061,NE.IMP.GNFS.ZS
CHN,China,2018,18.1238645885115,NE.IMP.GNFS.ZS
CHN,China,2017,17.6152224501166,NE.IMP.GNFS.ZS
CHN,China,2016,16.9735199564108,NE.IMP.GNFS.ZS
CHN,China,2015,17.7581206128424,NE.IMP.GNFS.ZS
CHN,China,2014,20.9964797865509,NE.IMP.GNFS.ZS
CHN,China,2013,21.7526982889514,NE.IMP.GNFS.ZS
CHN,China,2012,22.4035087488925,NE.IMP.GNFS.ZS
CHN,China,2011,23.7939443305376,NE.IMP.GNFS.ZS
CHN,China,2010,23.1313270837192,NE.IMP.GNFS.ZS
USA,United States,2024,13.9911166360401,NE.IMP.GNFS.ZS
USA,United States,2023,13.8878518583345,NE.IMP.GNFS.ZS
USA,United States,2022,15.2894619130397,NE.IMP.GNFS.ZS
USA,United States,2021,14.422677831261,NE.IMP.GNFS.ZS
USA,United States,2020,13.0061222420701,NE.IMP.GNFS.ZS
USA,United States,2019,14.4692832148142,NE.IMP.GNFS.ZS
USA,United States,2018,15.1582483706352,NE.IMP.GNFS.ZS
USA,United States,2017,14.9478571955214,NE.IMP.GNFS.ZS
USA,United States,2016,14.5644385592212,NE.IMP.GNFS.ZS
USA,United States,2015,15.2770653039497,NE.IMP.GNFS.ZS
USA,United States,2014,16.3983551242045,NE.IMP.GNFS.ZS
USA,United States,2013,16.3878144030073,NE.IMP.GNFS.ZS
USA,United States,2012,17.0377883064876,NE.IMP.GNFS.ZS
USA,United States,2011,17.2790147933311,NE.IMP.GNFS.ZS
USA,United States,2010,15.878527508625,NE.IMP.GNFS.ZS
GBR,United Kingdom,2024,31.7697823457053,NE.IMP.GNFS.ZS
GBR,United Kingdom,2023,33.0529270411278,NE.IMP.GNFS.ZS
GBR,United Kingdom,2022,35.3133356660075,NE.IMP.GNFS.ZS
GBR,United Kingdom,2021,29.4042618360024,NE.IMP.GNFS.ZS
GBR,United Kingdom,2020,29.1113418392136,NE.IMP.GNFS.ZS
GBR,United Kingdom,2019,33.0303533562736,NE.IMP.GNFS.ZS
GBR,United Kingdom,2018,32.9625368906995,NE.IMP.GNFS.ZS
GBR,United Kingdom,2017,32.2312989980226,NE.IMP.GNFS.ZS
GBR,United Kingdom,2016,30.7980588910172,NE.IMP.GNFS.ZS
GBR,United Kingdom,2015,29.3575990202724,NE.IMP.GNFS.ZS
GBR,United Kingdom,2014,30.518589390469,NE.IMP.GNFS.ZS
