country_code,country,year,value,indicator
USA,United States,2024,24.8879916970734,NE.TRD.GNFS.ZS
USA,United States,2023,24.8993631439946,NE.TRD.GNFS.ZS
USA,United States,2022,26.891689830077,NE.TRD.GNFS.ZS
USA,United States,2021,25.2136560307765,NE.TRD.GNFS.ZS
USA,United States,2020,23.0797778694073,NE.TRD.GNFS.ZS
USA,United States,2019,26.2584806245428,NE.TRD.GNFS.ZS
USA,United States,2018,27.4453591302618,NE.TRD.GNFS.ZS
USA,United States,2017,27.1253382222874,NE.TRD.GNFS.ZS
USA,United States,2016,26.4525977865465,NE.TRD.GNFS.ZS
USA,United States,2015,27.6882139340768,NE.TRD.GNFS.ZS
USA,United States,2014,29.906569337428,NE.TRD.GNFS.ZS
USA,United States,2013,29.9413062848227,NE.TRD.GNFS.ZS
USA,United States,2012,30.681839575193,NE.TRD.GNFS.ZS
USA,United States,2011,30.842478575914,NE.TRD.GNFS.ZS
USA,United States,2010,28.2198829408336,NE.TRD.GNFS.ZS
