country_code,country,year,value,indicator
GBR,United Kingdom,2024,1.10066786639271,NY.GDP.MKTP.KD.ZG
GBR,United Kingdom,2023,0.39708234553963,NY.GDP.MKTP.KD.ZG
GBR,United Kingdom,2022,4.83908517877134,NY.GDP.MKTP.KD.ZG
GBR,United Kingdom,2021,8.57595087393024,NY.GDP.MKTP.KD.ZG
GBR,United Kingdom,2020,-10.296918859171,NY.GDP.MKTP.KD.ZG
GBR,United Kingdom,2019,1.62447518038404,NY.GDP.MKTP.KD.ZG
GBR,United Kingdom,2018,1.40519025981538,NY.GDP.MKTP.KD.ZG
GBR,United Kingdom,2017,2.65650487566202,NY.GDP.MKTP.KD.ZG
GBR,United Kingdom,2016,1.92171009934007,NY.GDP.MKTP.KD.ZG
GBR,United Kingdom,2015,2.22288842280334,NY.GDP.MKTP.KD.ZG
GBR,United Kingdom,2014,3.19463731938923,NY.GDP.MKTP.KD.ZG
GBR,United Kingdom,2013,1.79992149702836,NY.GDP.MKTP.KD.ZG
GBR,United Kingdom,2012,1.50899834668228,NY.GDP.MKTP.KD.ZG
GBR,United Kingdom,2011,1.13836239840663,NY.GDP.MKTP.KD.ZG
GBR,United Kingdom,2010,2.23331508815346,NY.GDP.MKTP.KD.ZG
