country_code,country,year,value,indicator
USA,United States,2024,2.79619035621393,NY.GDP.MKTP.KD.ZG
USA,United States,2023,2.88755600905984,NY.GDP.MKTP.KD.ZG
USA,United States,2022,2.5123753198332,NY.GDP.MKTP.KD.ZG
USA,United States,2021,6.05505293304556,NY.GDP.MKTP.KD.ZG
USA,United States,2020,-2.16302913866512,NY.GDP.MKTP.KD.ZG
USA,United States,2019,2.58382533018889,NY.GDP.MKTP.KD.ZG
USA,United States,2018,2.96650506916596,NY.GDP.MKTP.KD.ZG
USA,United States,2017,2.45762230175086,NY.GDP.MKTP.KD.ZG
USA,United States,2016,1.81945147620522,NY.GDP.MKTP.KD.ZG
USA,United States,2015,2.94555045599772,NY.GDP.MKTP.KD.ZG
USA,United States,2014,2.52381981372621,NY.GDP.MKTP.KD.ZG
USA,United States,2013,2.11783009786468,NY.GDP.MKTP.KD.ZG
USA,United States,2012,2.289113386319,NY.GDP.MKTP.KD.ZG
USA,United States,2011,1.56440685537306,NY.GDP.MKTP.KD.ZG
USA,United States,2010,2.69519258234851,NY.GDP.MKTP.KD.ZG
