country_code,country,year,value,indicator
CHN,China,2024,4.571,SL.UEM.TOTL.ZS
CHN,China,2023,4.67,SL.UEM.TOTL.ZS
CHN,China,2022,4.98,SL.UEM.TOTL.ZS
CHN,China,2021,4.55,SL.UEM.TOTL.ZS
CHN,China,2020,5.0,SL.UEM.TOTL.ZS
CHN,China,2019,4.56,SL.UEM.TOTL.ZS
CHN,China,2018,4.31,SL.UEM.TOTL.ZS
CHN,China,2017,4.47,SL.UEM.TOTL.ZS
CHN,China,2016,4.56,SL.UEM.TOTL.ZS
CHN,China,2015,4.65,SL.UEM.TOTL.ZS
CHN,China,2014,4.63,SL.UEM.TOTL.ZS
CHN,China,2013,4.6,SL.UEM.TOTL.ZS
CHN,China,2012,4.58,SL.UEM.TOTL.ZS
CHN,China,2011,4.55,SL.UEM.TOTL.ZS
CHN,China,2010,4.53,SL.UEM.TOTL.ZS
