country_code,country,year,value,indicator
GBR,United Kingdom,2024,4.111,SL.UEM.TOTL.ZS
GBR,United Kingdom,2023,3.984,SL.UEM.TOTL.ZS
GBR,United Kingdom,2022,3.73,SL.UEM.TOTL.ZS
GBR,United Kingdom,2021,4.826,SL.UEM.TOTL.ZS
GBR,United Kingdom,2020,4.472,SL.UEM.TOTL.ZS
GBR,United Kingdom,2019,3.613,SL.UEM.TOTL.ZS
GBR,United Kingdom,2018,4.12,SL.UEM.TOTL.ZS
GBR,United Kingdom,2017,4.452,SL.UEM.TOTL.ZS
GBR,United Kingdom,2016,4.867,SL.UEM.TOTL.ZS
GBR,United Kingdom,2015,5.517,SL.UEM.TOTL.ZS
GBR,United Kingdom,2014,6.363,SL.UEM.TOTL.ZS
GBR,United Kingdom,2013,7.704,SL.UEM.TOTL.ZS
GBR,United Kingdom,2012,8.25,SL.UEM.TOTL.ZS
GBR,United Kingdom,2011,8.169,SL.UEM.TOTL.ZS
GBR,United Kingdom,2010,7.924,SL.UEM.TOTL.ZS
