country_code,country,year,value,indicator
IND,India,2024,4.202,SL.UEM.TOTL.ZS
IND,India,2023,4.172,SL.UEM.TOTL.ZS
IND,India,2022,4.822,SL.UEM.TOTL.ZS
IND,India,2021,6.38,SL.UEM.TOTL.ZS
IND,India,2020,7.859,SL.UEM.TOTL.ZS
IND,India,2019,6.51,SL.UEM.TOTL.ZS
IND,India,2018,7.652,SL.UEM.TOTL.ZS
IND,India,2017,7.618,SL.UEM.TOTL.ZS
IND,India,2016,7.601,SL.UEM.TOTL.ZS
IND,India,2015,7.631,SL.UEM.TOTL.ZS
IND,India,2014,7.674,SL.UEM.TOTL.ZS
IND,India,2013,7.711,SL.UEM.TOTL.ZS
IND,India,2012,7.666,SL.UEM.TOTL.ZS
IND,India,2011,7.616,SL.UEM.TOTL.ZS
IND,India,2010,7.652,SL.UEM.TOTL.ZS
