country_code,country,year,value,indicator
JPN,Japan,2024,2.563,SL.UEM.TOTL.ZS
JPN,Japan,2023,2.6,SL.UEM.TOTL.ZS
JPN,Japan,2022,2.6,SL.UEM.TOTL.ZS
JPN,Japan,2021,2.828,SL.UEM.TOTL.ZS
JPN,Japan,2020,2.809,SL.UEM.TOTL.ZS
JPN,Japan,2019,2.351,SL.UEM.TOTL.ZS
JPN,Japan,2018,2.467,SL.UEM.TOTL.ZS
JPN,Japan,2017,2.822,SL.UEM.TOTL.ZS
JPN,Japan,2016,3.132,SL.UEM.TOTL.ZS
JPN,Japan,2015,3.385,SL.UEM.TOTL.ZS
JPN,Japan,2014,3.589,SL.UEM.TOTL.ZS
JPN,Japan,2013,4.038,SL.UEM.TOTL.ZS
JPN,Japan,2012,4.358,SL.UEM.TOTL.ZS
JPN,Japan,2011,4.55,SL.UEM.TOTL.ZS
JPN,Japan,2010,5.102,SL.UEM.TOTL.ZS
