country_code,country,year,value,indicator
USA,United States,2024,4.106,SL.UEM.TOTL.ZS
USA,United States,2023,3.638,SL.UEM.TOTL.ZS
USA,United States,2022,3.65,SL.UEM.TOTL.ZS
USA,United States,2021,5.349,SL.UEM.TOTL.ZS
USA,United States,2020,8.055,SL.UEM.TOTL.ZS
USA,United States,2019,3.669,SL.UEM.TOTL.ZS
USA,United States,2018,3.896,SL.UEM.TOTL.ZS
USA,United States,2017,4.355,SL.UEM.TOTL.ZS
USA,United States,2016,4.869,SL.UEM.TOTL.ZS
USA,United States,2015,5.28,SL.UEM.TOTL.ZS
USA,United States,2014,6.168,SL.UEM.TOTL.ZS
USA,United States,2013,7.375,SL.UEM.TOTL.ZS
USA,United States,2012,8.069,SL.UEM.TOTL.ZS
USA,United States,2011,8.949,SL.UEM.TOTL.ZS
USA,United States,2010,9.633,SL.UEM.TOTL.ZS
