Year,Month,Repo_Rate_Percent
2010,Jan,5.25
2011,Mar,6.75
2012,Mar,8.50
2013,Mar,7.50
2014,Mar,8.00
2015,Mar,7.50
2016,Mar,6.75
2017,Dec,6.00
2018,Aug,6.50
2019,Sep,5.40
2020,Mar,4.40
2020,May,4.00
2021,Dec,4.00
2022,June,4.90
2022,Aug,5.40
2022,Dec,6.25
2023,Feb,6.50
2023,Dec,6.50
2024,Jun,6.50
2012,Mar,8.5
2013,Mar,7.5
2014,Mar,8.0
2015,Mar,7.5
2016,Mar,6.75
2017,Dec,6.0
2018,Aug,6.5
2019,Sep,5.4
2020,Mar,4.4
2020,May,4.0
2021,Dec,4.0
2022,June,4.9
2022,Aug,5.4
2022,Dec,6.25
2023,Feb,6.5
2023,Dec,6.5
2024,Jun,6.5
